,Date,flood,flood_map,fema
0,3/1/15,21,22,43
1,3/2/15,31,11,51
2,3/3/15,30,50,49
3,3/4/15,33,22,46
4,3/5/15,26,25,37
5,3/6/15,32,40,48
6,3/7/15,29,27,41
7,3/8/15,25,23,25
8,3/9/15,65,53,54
9,3/10/15,39,39,44
10,3/11/15,37,18,52
11,3/12/15,33,22,41
12,3/13/15,32,32,47
13,3/14/15,33,18,19
14,3/15/15,27,43,22
15,3/16/15,28,25,46
16,3/17/15,35,32,44
17,3/18/15,40,36,58
18,3/19/15,36,22,50
19,3/20/15,35,18,56
20,3/21/15,58,56,32
21,3/22/15,28,12,29
22,3/23/15,32,18,42
23,3/24/15,34,26,57
24,3/25/15,26,20,52
25,3/26/15,37,21,58
26,3/27/15,32,18,55
27,3/28/15,21,22,28
28,3/29/15,29,13,31
29,3/30/15,35,32,47
30,3/31/15,28,9,37
31,4/1/15,32,27,50
32,4/2/15,32,39,50
33,4/3/15,34,17,35
34,4/4/15,21,25,34
35,4/5/15,18,24,30
36,4/6/15,33,24,31
37,4/7/15,35,23,53
38,4/8/15,32,23,44
39,4/9/15,31,26,45
40,4/10/15,36,39,43
41,4/11/15,27,36,39
42,4/12/15,26,36,44
43,4/13/15,74,26,62
44,4/14/15,49,17,60
45,4/15/15,28,9,100
46,4/16/15,40,13,91
47,4/17/15,52,27,76
48,4/18/15,100,100,45
49,4/19/15,41,21,44
50,4/20/15,38,36,84
51,4/21/15,41,39,94
52,4/22/15,30,27,90
53,4/23/15,42,18,76
54,4/24/15,44,18,82
55,4/25/15,34,18,38
56,4/26/15,31,13,65
57,4/27/15,46,43,58
58,4/28/15,43,34,76
59,4/29/15,35,35,59
60,4/30/15,36,24,76
61,5/1/15,2,1,40
62,5/2/15,1,2,37
63,5/3/15,2,2,32
64,5/4/15,2,1,39
65,5/5/15,4,3,39
66,5/6/15,3,3,39
67,5/7/15,3,2,38
68,5/8/15,4,4,53
69,5/9/15,3,2,25
70,5/10/15,6,4,35
71,5/11/15,6,4,49
72,5/12/15,7,5,53
73,5/13/15,11,14,70
74,5/14/15,6,7,38
75,5/15/15,5,3,38
76,5/16/15,3,1,25
77,5/17/15,7,6,27
78,5/18/15,4,3,48
79,5/19/15,4,2,54
80,5/20/15,4,1,52
81,5/21/15,6,7,46
82,5/22/15,6,5,34
83,5/23/15,7,7,30
84,5/24/15,42,25,41
85,5/25/15,50,24,42
86,5/26/15,100,100,95
87,5/27/15,62,43,100
88,5/28/15,40,26,95
89,5/29/15,48,31,91
90,5/30/15,42,30,78
91,5/31/15,28,22,65
92,6/1/15,19,10,90
93,6/2/15,13,8,97
94,6/3/15,11,7,78
95,6/4/15,9,5,88
96,6/5/15,9,5,83
97,6/6/15,7,2,44
98,6/7/15,7,4,61
99,6/8/15,7,4,73
100,6/9/15,6,4,87
101,6/10/15,6,5,82
102,6/11/15,6,2,64
103,6/12/15,5,3,58
104,6/13/15,5,2,38
105,6/14/15,7,3,37
106,6/15/15,13,17,79
107,6/16/15,15,25,79
108,6/17/15,13,17,66
109,6/18/15,8,5,67
110,6/19/15,6,5,58
111,6/20/15,6,3,39
112,6/21/15,6,2,34
113,6/22/15,6,5,80
114,6/23/15,5,4,54
115,6/24/15,4,5,66
116,6/25/15,4,2,56
117,6/26/15,4,2,53
118,6/27/15,3,2,42
119,6/28/15,5,3,37
120,6/29/15,4,3,55
121,6/30/15,4,6,66
122,7/1/15,100,83,73
123,7/2/15,66,66,73
124,7/3/15,55,78,44
125,7/4/15,69,100,45
126,7/5/15,52,61,39
127,7/6/15,70,96,100
128,7/7/15,88,53,81
129,7/8/15,87,73,68
130,7/9/15,81,78,75
131,7/10/15,71,66,59
132,7/11/15,72,66,44
133,7/12/15,72,37,35
134,7/13/15,61,68,72
135,7/14/15,72,43,90
136,7/15/15,59,77,78
137,7/16/15,64,37,68
138,7/17/15,56,51,66
139,7/18/15,40,29,33
140,7/19/15,55,31,31
141,7/20/15,67,47,71
142,7/21/15,66,54,64
143,7/22/15,63,43,73
144,7/23/15,54,49,63
145,7/24/15,53,55,52
146,7/25/15,46,45,47
147,7/26/15,46,55,43
148,7/27/15,55,58,67
149,7/28/15,64,58,56
150,7/29/15,61,34,71
151,7/30/15,59,53,50
152,7/31/15,60,50,47
153,8/1/15,43,35,37
154,8/2/15,54,42,29
155,8/3/15,70,63,58
156,8/4/15,64,71,62
157,8/5/15,57,67,61
158,8/6/15,56,43,56
159,8/7/15,48,45,41
160,8/8/15,44,36,38
161,8/9/15,35,28,30
162,8/10/15,50,29,45
163,8/11/15,71,91,44
164,8/12/15,55,43,49
165,8/13/15,58,38,35
166,8/14/15,58,69,49
167,8/15/15,49,18,40
168,8/16/15,45,18,39
169,8/17/15,51,58,39
170,8/18/15,45,33,47
171,8/19/15,64,71,52
172,8/20/15,91,57,37
173,8/21/15,50,44,41
174,8/22/15,54,46,39
175,8/23/15,45,70,31
176,8/24/15,66,33,57
177,8/25/15,52,51,53
178,8/26/15,60,28,60
179,8/27/15,61,78,64
180,8/28/15,56,38,49
181,8/29/15,46,45,42
182,8/30/15,41,23,30
183,8/31/15,62,49,47
184,9/1/15,12,6,52
185,9/2/15,11,7,60
186,9/3/15,13,7,61
187,9/4/15,10,2,52
188,9/5/15,8,8,39
189,9/6/15,9,9,42
190,9/7/15,10,4,38
191,9/8/15,9,10,49
192,9/9/15,12,8,76
193,9/10/15,14,9,100
194,9/11/15,17,11,68
195,9/12/15,8,4,50
196,9/13/15,6,4,50
197,9/14/15,11,5,85
198,9/15/15,16,7,85
199,9/16/15,20,9,70
200,9/17/15,14,7,60
201,9/18/15,12,3,68
202,9/19/15,9,8,45
203,9/20/15,9,5,42
204,9/21/15,11,4,63
205,9/22/15,12,7,57
206,9/23/15,11,7,68
207,9/24/15,10,7,52
208,9/25/15,10,4,43
209,9/26/15,8,4,41
210,9/27/15,8,4,42
211,9/28/15,10,3,64
212,9/29/15,11,9,71
213,9/30/15,11,7,51
214,10/1/15,10,8,58
215,10/2/15,11,6,70
216,10/3/15,10,3,36
217,10/4/15,14,4,34
218,10/5/15,24,9,66
219,10/6/15,22,12,67
220,10/7/15,17,5,75
221,10/8/15,16,5,57
222,10/9/15,15,7,65
223,10/10/15,12,6,28
224,10/11/15,13,5,25
