,Date,flood,fema,brays bayou,,
31,4/25/15,34,38,0,,
32,4/26/15,31,65,0,,
33,4/27/15,46,58,0,,
34,4/28/15,43,76,0,,
35,4/29/15,35,59,0,,
36,4/30/15,36,76,0,,
37,5/1/15,2,40,0,,
38,5/2/15,1,37,0,,
39,5/3/15,2,32,0,,
40,5/4/15,2,39,0,,
41,5/5/15,4,39,0,,
42,5/6/15,3,39,0,,
43,5/7/15,3,38,3,,
44,5/8/15,4,53,3,,
45,5/9/15,3,25,4,,
46,5/10/15,6,35,5,,
47,5/11/15,6,49,6,,
48,5/12/15,7,53,3,,
49,5/13/15,11,70,3,,
50,5/14/15,6,38,3,,
51,5/15/15,5,38,3,,
52,5/16/15,3,25,3,,
53,5/17/15,7,27,3,,
54,5/18/15,4,48,3,,
55,5/19/15,4,54,3,,
56,5/20/15,4,52,3,,
57,5/21/15,6,46,4,,
58,5/22/15,6,34,4,,
59,5/23/15,7,30,5,,
60,5/24/15,42,41,5,,
61,5/25/15,50,42,4,,
62,5/26/15,100,95,100,,
63,5/27/15,62,100,28,,
64,5/28/15,40,95,5,,
65,5/29/15,48,91,14,,
66,5/30/15,42,78,9,,
67,5/31/15,28,65,18,,
68,6/1/15,19,90,3,,
69,6/2/15,13,97,3,,
70,6/3/15,11,78,3,,
71,6/4/15,9,88,7,,
72,6/5/15,9,83,7,,
73,6/6/15,7,44,5,,
74,6/7/15,7,61,5,,
75,6/8/15,7,73,4,,
76,6/9/15,6,87,4,,
77,6/10/15,6,82,4,,
78,6/11/15,6,64,5,,
79,6/12/15,5,58,7,,
80,6/13/15,5,38,5,,
81,6/14/15,7,37,5,,
82,6/15/15,13,79,3,,
83,6/16/15,15,79,5,,
84,6/17/15,13,66,10,,
85,6/18/15,8,67,7,,
86,6/19/15,6,58,4,,
87,6/20/15,6,39,4,,
88,6/21/15,6,34,5,,
89,6/22/15,6,80,3,,
90,6/23/15,5,54,5,,
91,6/24/15,4,66,3,,
92,6/25/15,4,56,3,,
93,6/26/15,4,53,3,,
94,6/27/15,3,42,3,,
95,6/28/15,5,37,3,,
96,6/29/15,4,55,3,,
97,6/30/15,4,66,3,,
98,7/1/15,0,0,0,,
99,7/2/15,0,0,0,,
100,7/3/15,0,0,0,,
101,7/4/15,0,0,0,,
102,7/5/15,0,0,0,,
103,7/6/15,0,0,0,,
104,7/7/15,0,0,0,,
105,7/8/15,0,0,0,,
106,7/9/15,0,0,0,,
107,7/10/15,0,0,0,,
108,7/11/15,0,0,0,,
109,7/12/15,0,0,0,,
110,7/13/15,0,0,0,,
111,7/14/15,0,0,0,,
112,7/15/15,0,0,0,,
113,7/16/15,0,0,0,,
114,7/17/15,0,0,0,,
115,7/18/15,0,0,0,,
116,7/19/15,0,0,0,,
117,7/20/15,0,0,0,,
118,7/21/15,0,0,0,,
119,7/22/15,0,0,0,,
120,7/23/15,0,0,0,,
121,7/24/15,0,0,0,,
122,7/25/15,0,0,0,,
123,7/26/15,0,0,0,,
124,7/27/15,0,0,0,,
