Index,Date,Flood,Flood_map
0,3/1/15,21,22
1,3/2/15,31,11
2,3/3/15,30,50
3,3/4/15,33,22
4,3/5/15,26,25
5,3/6/15,32,40
6,3/7/15,29,27
7,3/8/15,25,23
8,3/9/15,65,53
9,3/10/15,39,39
10,3/11/15,37,18
11,3/12/15,33,22
12,3/13/15,32,32
13,3/14/15,33,18
14,3/15/15,27,43
15,3/16/15,28,25
16,3/17/15,35,32
17,3/18/15,40,36
18,3/19/15,36,22
19,3/20/15,35,18
20,3/21/15,58,56
21,3/22/15,28,12
22,3/23/15,32,18
23,3/24/15,34,26
24,3/25/15,26,20
25,3/26/15,37,21
26,3/27/15,32,18
27,3/28/15,21,22
28,3/29/15,29,13
29,3/30/15,35,32
30,3/31/15,28,9
31,4/1/15,32,27
32,4/2/15,32,39
33,4/3/15,34,17
34,4/4/15,21,25
35,4/5/15,18,24
36,4/6/15,33,24
37,4/7/15,35,23
38,4/8/15,32,23
39,4/9/15,31,26
40,4/10/15,36,39
41,4/11/15,27,36
42,4/12/15,26,36
43,4/13/15,74,26
44,4/14/15,49,17
45,4/15/15,28,9
46,4/16/15,40,13
47,4/17/15,52,27
48,4/18/15,100,100
49,4/19/15,41,21
50,4/20/15,38,36
51,4/21/15,41,39
52,4/22/15,30,27
53,4/23/15,42,18
54,4/24/15,44,18
55,4/25/15,34,18
56,4/26/15,31,13
57,4/27/15,46,43
58,4/28/15,43,34
59,4/29/15,35,35
60,4/30/15,36,24
61,5/1/15,2,1
62,5/2/15,1,2
63,5/3/15,2,2
64,5/4/15,2,1
65,5/5/15,4,3
66,5/6/15,3,3
67,5/7/15,3,2
68,5/8/15,4,4
69,5/9/15,3,2
70,5/10/15,6,4
71,5/11/15,6,4
72,5/12/15,7,5
73,5/13/15,11,14
74,5/14/15,6,7
75,5/15/15,5,3
76,5/16/15,3,1
77,5/17/15,7,6
78,5/18/15,4,3
79,5/19/15,4,2
80,5/20/15,4,1
81,5/21/15,6,7
82,5/22/15,6,5
83,5/23/15,7,7
84,5/24/15,42,25
85,5/25/15,50,24
86,5/26/15,100,100
87,5/27/15,62,43
88,5/28/15,40,26
89,5/29/15,48,31
90,5/30/15,42,30
91,5/31/15,28,22
92,6/1/15,19,10
93,6/2/15,13,8
94,6/3/15,11,7
95,6/4/15,9,5
96,6/5/15,9,5
97,6/6/15,7,2
98,6/7/15,7,4
99,6/8/15,7,4
100,6/9/15,6,4
101,6/10/15,6,5
102,6/11/15,6,2
103,6/12/15,5,3
104,6/13/15,5,2
105,6/14/15,7,3
106,6/15/15,13,17
107,6/16/15,15,25
108,6/17/15,13,17
109,6/18/15,8,5
110,6/19/15,6,5
111,6/20/15,6,3
112,6/21/15,6,2
113,6/22/15,6,5
114,6/23/15,5,4
115,6/24/15,4,5
116,6/25/15,4,2
117,6/26/15,4,2
118,6/27/15,3,2
119,6/28/15,5,3
120,6/29/15,4,3
121,6/30/15,4,6
122,7/1/15,100,83
123,7/2/15,66,66
124,7/3/15,55,78
125,7/4/15,69,100
126,7/5/15,52,61
127,7/6/15,70,96
128,7/7/15,88,53
129,7/8/15,87,73
130,7/9/15,81,78
131,7/10/15,71,66
132,7/11/15,72,66
133,7/12/15,72,37
134,7/13/15,61,68
135,7/14/15,72,43
136,7/15/15,59,77
137,7/16/15,64,37
138,7/17/15,56,51
139,7/18/15,40,29
140,7/19/15,55,31
141,7/20/15,67,47
142,7/21/15,66,54
143,7/22/15,63,43
144,7/23/15,54,49
145,7/24/15,53,55
146,7/25/15,46,45
147,7/26/15,46,55
148,7/27/15,55,58
149,7/28/15,64,58
150,7/29/15,61,34
151,7/30/15,59,53
152,7/31/15,60,50
153,8/1/15,43,35
154,8/2/15,54,42
155,8/3/15,70,63
156,8/4/15,64,71
157,8/5/15,57,67
158,8/6/15,56,43
159,8/7/15,48,45
160,8/8/15,44,36
161,8/9/15,35,28
162,8/10/15,50,29
163,8/11/15,71,91
164,8/12/15,55,43
165,8/13/15,58,38
166,8/14/15,58,69
167,8/15/15,49,18
168,8/16/15,45,18
169,8/17/15,51,58
170,8/18/15,45,33
171,8/19/15,64,71
172,8/20/15,91,57
173,8/21/15,50,44
174,8/22/15,54,46
175,8/23/15,45,70
176,8/24/15,66,33
177,8/25/15,52,51
178,8/26/15,60,28
179,8/27/15,61,78
180,8/28/15,56,38
181,8/29/15,46,45
182,8/30/15,41,23
183,8/31/15,62,49
184,9/1/15,12,6
185,9/2/15,11,7
186,9/3/15,13,7
187,9/4/15,10,2
188,9/5/15,8,8
189,9/6/15,9,9
190,9/7/15,10,4
191,9/8/15,9,10
192,9/9/15,12,8
193,9/10/15,14,9
194,9/11/15,17,11
195,9/12/15,8,4
